product_id,title,description,category,price,image_url
4c69b61db1fc16e7013b43fc926e502d,"DB Longboards CoreFlex Crossbow 41"" Bamboo Fiberglass Longboard Complete","Make sure this fits by entering your model number. | RESPONSIVE FLEX: The Crossbow features a bamboo core encased in triaxial fiberglass and HD plastic for a responsive flex pattern that’s second to none. Pumping & carving have never been so satisfying! Flex 2 is recommended for people 120 to 170 pounds. | COREFLEX TECH: CoreFlex construction is water resistant, impact resistant, scratch resistant and has a flex like you won’t believe. These boards combine fiberglass, epoxy, HD plastic and bamboo to create a perfect blend of performance and strength. | INSPIRED BY THE NORTHWEST: Our founding ideal is chasing adventure & riding the best boards possible, inspired by the hills, waves, beaches & mountains all around our headquarters in the Northwest | BEST IN THE WORLD: DB was founded out of sheer love of longboarding with a mission to create the best custom longboards in the world, to do it sustainably, & to treat customers & employees like family | BEYOND COMPARE: Try our skateboards & accessories if you've tried similar products by Sector 9, Landyachtz, Arbor, Loaded, Globe, Orangatang, Hawgs, Powell-Peralta, Blood Orange, Caliber or Gullwing","Sports & Outdoors | Outdoor Recreation | Skates, Skateboards & Scooters | Skateboarding | Standard Skateboards & Longboards | Longboards",$237.68,https://images-na.ssl-images-amazon.com/images/I/51j3fPQTQkL.jpg|https://images-na.ssl-images-amazon.com/images/I/31hKM3cSoSL.jpg|https://images-na.ssl-images-amazon.com/images/I/51WlHdwghfL.jpg|https://images-na.ssl-images-amazon.com/images/I/51FsyLRBzwL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg
66d49bbed043f5be260fa9f7fbff5957,"Electronic Snap Circuits Mini Kits Classpack, FM Radio, Motion Detector, Music Box (Set of 5)","Make sure this fits by entering your model number. | Snap circuits mini kits classpack provides basic electronic circuitry activities for students in grades 2-6 | Includes 5 separate mini building kits- an FM radio, a motion detector, music box, space battle sound effects, and a flying saucer | Each kit includes separate components and instructions to build | Each component represents one function in a circuit; components snap together to create working models of everyday electronic devices | Activity guide provides additional projects to teach students how circuitry works",Toys & Games | Learning & Education | Science Kits & Toys,$99.95,https://images-na.ssl-images-amazon.com/images/I/51M0KnJxjKL.jpg|https://images-na.ssl-images-amazon.com/images/I/5166GD8OkXL.jpg|https://images-na.ssl-images-amazon.com/images/I/61o5S1VnaNL.jpg|https://images-na.ssl-images-amazon.com/images/I/61t4Q0rPYjL.jpg|https://images-na.ssl-images-amazon.com/images/I/61NASUAyqcL.jpg|https://images-na.ssl-images-amazon.com/images/I/51OMrADdyJL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg
2c55cae269aebf53838484b0d7dd931a,"3Doodler Create Flexy 3D Printing Filament Refill Bundle (X5 Pack, Over 1000'. of Extruded Plastics! - Innovate","Make sure this fits by entering your model number. | ✅【Smooth 3D drawing experienced the best 3D drawing experience by only using 3Doodler Create Plastics with 3Doodler Create+ and create 3D Printing pen. | ✅【Safe to use】the 3Doodler Create Plastics, conforms to the health requirements of ASTM-D-4236 & require no additional labelling in accordance with the US Consumer Product safety Commission’s Regulations as mandated by Labeling of Hazardous Art Materials Act (LHAMA). | 👍【3Doodler very own Type of plastic】the FLEXY plastic takes creativity to new levels! You can make flexible fun 3D creations! | 🌍【Environmentally friendly】3doodler create Plastic is made of corn and are 100% compostable! | ✅【125 strands of drawing fun】this bundle includes 5 refill filament packs, that's a total of 1043 ft. Of 3D drawing and doodling fun! | 📱【The 3Doodler app】get an interactive experience! The app is packed with dedicated easy to follow stencil section and step by step interactive instructions, receive badges for completed projects and photograph & share YOUR creations directly on social media. The app is fully built on iOS & Android. | ✅【All your favorite colors】this pack includes: green, blue, pink, orange & yellow",Toys & Games | Arts & Crafts | Craft Kits,$34.99,https://images-na.ssl-images-amazon.com/images/I/513cBC8PqpL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg
18018b6bc416dab347b1b7db79994afa,Guillow Airplane Design Studio with Travel Case Building Kit,Make 8 different Planes at one time. | Experiment with different designs and learn about flight. | All contained in Part trays inside an attractive box with carry handle! | Guillow's - your one source for flying toys since 1926. | Made in the USA.,Toys & Games | Hobbies | Models & Model Kits | Model Kits | Airplane & Jet Kits,$28.91,https://images-na.ssl-images-amazon.com/images/I/516UijZMilL.jpg|https://images-na.ssl-images-amazon.com/images/I/51J6y3oM6VL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg
e04b990e95bf73bbe6a3fa09785d7cd0,Woodstock- Collage 500 pc Puzzle,Make sure this fits by entering your model number. | Puzzle has 500 pieces | Completed puzzle measure 14 x 19 | 100% officially licensed merchandise | Great for fans & puzzlers alike,Toys & Games | Puzzles | Jigsaw Puzzles,$17.49,https://images-na.ssl-images-amazon.com/images/I/61plo8Xv4vL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg
f8c32a45e507a177992973cf0d46d20c,"Terra by Battat – 4 Dinosaur Toys, Medium – Dinosaurs for Kids & Collectors, Scientifically Accurate & Designed by A Paleo-Artist; Age 3+ (4 Pc)","Make sure this fits by entering your model number. | 4 medium-sized dinosaurs for kids, with lifelike pose, accurate ratio, and exquisitely detailed paint | Includes: Parasaurolophus walkeri, Stegosaurus ungulatus, Pachyrhinosaurus, and euoplocephalus tutus toy dinos | Museum Quality: classic toy dinosaurs designed by an internationally renowned paleo-artist | Educational toy: dinosaur toys for kids spark curiosity about paleontology, science, and natural History | Dimensions: Dimensions: miniature figurines measure 6.25-8.5 (L) 1.5-2.25 (W) 2.25-3.5 (H) inches approximately toys 6.25-8.5 (L) 1.5-2.25 (W) 2.25-3.5 (H) inches approximately | No batteries required, just imagination! | Earth-friendly recyclable packaging | Age: suggested for ages 3+ | Collect them all! Discover the entire Terra by Battat family of animal toy figurines and dinosaur playsets!",,$18.66,https://images-na.ssl-images-amazon.com/images/I/41EdPcg0uzL.jpg|https://images-na.ssl-images-amazon.com/images/I/410KcPi9ieL.jpg|https://images-na.ssl-images-amazon.com/images/I/41wU2y7soKL.jpg|https://images-na.ssl-images-amazon.com/images/I/51NIuTiNR1L.jpg|https://images-na.ssl-images-amazon.com/images/I/41lqmJ8s-EL.jpg|https://images-na.ssl-images-amazon.com/images/I/41mJemzRLAL.jpg|https://images-na.ssl-images-amazon.com/images/I/61kyhPnISgL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg
40d3cd16b41970ae6872e914aecf2c8e,"Rubie's Child's Pokemon Deluxe Pikachu Costume, X-Small","Make sure this fits by entering your model number. | Polyester | Deluxe Pokemon child's Pikachu costume features a fleece jumpsuit with attached tail and headpiece with attached ears and printed face | Officially licensed Pokemon costume, look for trademark on packaging and label to help assure you've received authentic safety-tested item | Important: Costumes are sized differently than apparel, use the Rubie's Child Size Chart, do not choose based on child's age or clothing size | Group costume fun: coordinate with additional Pokemon costumes and accessories available from Rubie's | Family-owned, family-focused, and based in the U.S.A. Since 1951, Rubie's has classic and licensed costumes and accessories in sizes and styles for your entire family","Clothing, Shoes & Jewelry | Costumes & Accessories | Kids & Baby | Girls | Costumes",$29.12,https://images-na.ssl-images-amazon.com/images/I/311yBLR6GiL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg
cc2083338a16c3fe2f7895289d2e98fe,"ARTSCAPE Etched Glass 24"" x 36"" Window Film, 24-by-36-Inch",Make sure this fits by entering your model number. | The visual effect of textured glass and stained glass | Creates privacy / Provides UV protection | No adhesives / Applies easily | Patterns repeat to cover any size window | Made in USA,Home & Kitchen | Home Décor | Window Treatments | Window Stickers & Films | Window Films,$12.99,https://images-na.ssl-images-amazon.com/images/I/51iAe3LF7FL.jpg|https://images-na.ssl-images-amazon.com/images/I/417B20oEehL.jpg|https://images-na.ssl-images-amazon.com/images/I/41J3bDg633L.jpg|https://images-na.ssl-images-amazon.com/images/I/51hhnuGWwdL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg
69828c5570dcdbd1609216d33fbad0db,Pokemon TCG: Sun and Moon Crimson Invasion Elite Trainer Box,"Make sure this fits by entering your model number. | The Pokémon TCG: Sun & Moon—Crimson Invasion Elite Trainer Box includes: | 8 Pokémon TCG: Sun & Moon Crimson Invasion booster packs, 65 card sleeves featuring Silvally, 45 Pokémon TCG Energy cards, 6 damage-counter dice | 2 acrylic condition markers and 1 acrylic GX marker, 1 competition-legal coin-flip die | A collector's box to hold everything, with 4 dividers to keep it organized, A player's guide to the Sun & Moon—Crimson Invasion expansion, A code card for the Pokemon Trading Card Game | Official Release Date: November 3rd, 2017",,$38.49,https://images-na.ssl-images-amazon.com/images/I/51LFAQfMX6L.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg
7b0746d8afc8462ba17f8a763d9d5f1e,"Moonlite, 3-Story Bundle for Boys, Includes 3 Story Reels for Use with Storybook Projector","Make sure this fits by entering your model number. | 3 story reels: make reading even more magical with the Moonlite story reels bundle! With 3 story reels included in this set, read adventure-filled tales about Pirates, Dragon and a T-Rex to your little boy any time of day, and enjoy them again and again! | Easy-to-use portable storybook projector: The tales included in this 3-pack come alive with Moonlite! Clip the projector (sold separately) onto your smartphone (not included), slide in one of the set's story reels and project vibrant images onto any surface! Moonlite is lightweight and small enough to carry with you wherever you go. | Develop a love of learning: adored by children and adults, award-winning Moonlite and the story reels create an immersive reading experience that instills a love of learning at a young age. As kids follow along to their favorite stories, they develop their imagination, creativity and language skills. | The Moonlite 3-story bundle makes a great gift for boys aged 3 and up and includes 3 story reels. Read tales like how to be a pirate, there was an old Dragon who swallowed a Knight and I'm a T.Rex! Works with the Moonlite storybook projector (sold separately). | Includes: 3 story reels, 1 activation card, 1 quick start guide",Toys & Games | Baby & Toddler Toys,$18.16,https://images-na.ssl-images-amazon.com/images/I/51rUvw7zrtL.jpg|https://images-na.ssl-images-amazon.com/images/I/51MYg4EV2pL.jpg|https://images-na.ssl-images-amazon.com/images/I/51tNGkk%2BQSL.jpg|https://images-na.ssl-images-amazon.com/images/I/51EkeBHHZuL.jpg|https://images-na.ssl-images-amazon.com/images/I/51FGAr81NXL.jpg|https://images-na.ssl-images-amazon.com/images/I/511xp-dN1nL.jpg|https://images-na.ssl-images-amazon.com/images/I/B1HrN5Ag7JS.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg
